,reference,doc,candidate,index
70,Effects of temperature on the transmission of COVID-19,lmjaldcs,what is the average temperature in hubei,0
71,Effects of humidity on the transmission of COVID-19,6anr4xdw,what is the effect of temperature on death,0
72,Effects of humidity on the transmission of COVID-19,qz2joxys,what is the role of the weather in sars cov,0
73,Effects of humidity on the transmission of COVID-19,fcaeoyxd,what is the global pattern of covid outbreaks,0
74,Effects of humidity on the transmission of COVID-19,eob22inx,what is the effect of temperature on mortality,0
75,Effects of seasonality on the transmission of COVID-19,f4hj35dr,when will sars cov-2 be transmitted,0
76,Effects of seasonality on the transmission of COVID-19,zxx7tikz,what is the climate of sars cov2,0
77,Effects of seasonality on the transmission of COVID-19,f3qeoyvf,what is trend in epidemiology,0
78,Effects of seasonality on the transmission of COVID-19,3p2dl8yf,when is sars-cov-2 peak,0
79,Effects of seasonality on the transmission of COVID-19,x4qdiln9,when does the covid epidemic peak,0
80,Effects of seasonality on the transmission of COVID-19,f4hj35dr,when will sars cov-2 be transmitted,0
81,Effects of seasonality on the transmission of COVID-19,nzat41wu,what is the social distancing of sars,0
82,Purity of ethanol to inactivate COVID-19,c1n994j6,what is the inactivation rate of sars,0
83,Purity of ethanol to inactivate COVID-19,c1n994j6,what is the inactivation rate of sars,0
84,Purity of ethanol to inactivate COVID-19,c1n994j6,what is the inactivation rate of sars,0
85,Temperature used for inactivating COVID-19,dm1wkpnv,what is the sars-cov virus,0
86,Temperature used for inactivating COVID-19,d48u5w0h,what is the protocol for disinfection of ppe,0
87,UVGI intensity used for inactivating COVID-19,dm1wkpnv,what is the sars-cov virus,0
88,UVGI intensity used for inactivating COVID-19,d48u5w0h,what is the protocol for disinfection of ppe,0
89,Sample size used in COVID-19 studies,wuclekt6,what is the average blood test for covid,0
90,Sample size used in COVID-19 studies,ragcpbl6,where does the covid epidemic originate,0
91,Sample size used in COVID-19 studies,56zhxd6e,what is the incubation period for covid,0
92,Sample size used in COVID-19 studies,djq0lvr2,what is the incubation period for sars,0
93,Sample size used in COVID-19 studies,tne83uu0,incubation period for covid,0
94,Sample size used in COVID-19 studies,glq0lckz,sars cov 2 incubation period,0
95,Sample size used in COVID-19 studies,ti9b1etu,coronavirus incubation period,0
96,Sample size used in COVID-19 studies,1mxjklgx,what is the incubation period for covid,0
97,Sample size used in COVID-19 studies,u8goc7io,what is the incubation period for coronavirus,0
98,Sample size used in COVID-19 studies,r5a46n9a,when is the sars-cov 2 outbreak,0
99,Sample size used in COVID-19 studies,giabjjnz,how many people have sars cov2,0
100,Sample size used in COVID-19 studies,bmsmegbs,sars cov 2 symptoms,0
101,Sample size used in COVID-19 studies,56zhxd6e,what is the incubation period for covid,0
102,Sample size used in COVID-19 studies,atnz63pk,what is the asymptomatic proportion of covid,0
103,Sample size used in COVID-19 studies,k3f7ohzg,what is the clinical characteristic of covid,0
104,Sample size used in COVID-19 studies,dmrtsxik,what is the clinical features of covid,0
105,Sample size used in COVID-19 studies,jvhrp51s,what is the prevalence of covid in children,0
106,Sample size used in COVID-19 studies,ouca1bol,what is the rna in nps,0
107,Sample size used in COVID-19 studies,ac4aesoa,what is rt pcr,0
108,Sample size used in COVID-19 studies,4aps0kvp,what is the pathogen of coronavirus,0
109,Sample size used in COVID-19 studies,3q2bj7cr,when is sars detectable in stool,0
110,Sample size used in COVID-19 studies,nrdiqees,what is the risk of preexisting comorbidities,0
111,Sample size used in COVID-19 studies,as6tbfrh,what is the severity of covid,0
112,Sample size used in COVID-19 studies,5ciaonf0,what is the clinical outcome of covid,0
113,Sample size used in COVID-19 studies,niw61l9r,what is the clinical manifestation of coronavirus,0
114,Sample size used in COVID-19 studies,pd70i3d8,what is the prognostic factor for severe illness,0
115,Sample size used in COVID-19 studies,9mact9br,how long does it take to recover from sars,0
116,RR for severe infection in COVID-19 patients with hypertension,4mnmaky6,what is the risk factor for severe covid,0
117,RR for severe infection in COVID-19 patients with hypertension,yx8b2moc,what is the clinical feature of coronavirus,0
118,HR for severe infection in COVID-19 patients with hypertension,7s9ot4vq,what is the primary endpoint of coronavirus,0
119,HR for severe infection in COVID-19 patients with hypertension,ol21k1a8,age specific prevalence of sars,0
120,OR for severe infection in COVID-19 patients with hypertension,v6frcc5r,what is the correlation between covid-19 and hypertension,0
121,OR for severe infection in COVID-19 patients with hypertension,vof63qat,what is covid,0
122,OR for severe infection in COVID-19 patients with hypertension,3ti3y4y9,what is the disease covid,0
123,OR for severe infection in COVID-19 patients with hypertension,ubqexcof,what is the risk factor for covid,0
124,OR for severe infection in COVID-19 patients with hypertension,4su6v83t,what is the risk of copd,0
125,Mortality rate for COVID-19 patients with hypertension,r0r1kvkp,what is the role of sofa score in prognosis,0
126,OR for severe infection in COVID-19 patients with diabetes,oqo8pa1p,what is the risk factor for severe covid,0
127,OR for severe infection in COVID-19 patients with diabetes,v6frcc5r,what is the correlation between covid-19 and hypertension,0
128,OR for severe infection in COVID-19 patients with diabetes,yx8b2moc,what is the clinical feature of coronavirus,0
129,OR for severe infection in COVID-19 patients with diabetes,ubqexcof,what is the risk factor for covid,0
130,OR for severe infection in COVID-19 patients with diabetes,4su6v83t,what is the risk of copd,0
131,RR for severe infection in COVID-19 patients with diabetes,4mnmaky6,what is the risk factor for severe covid,0
132,RR for severe infection in COVID-19 patients with diabetes,u6uqroi0,what is the association between ards and diabetes,0
133,RR for severe infection in COVID-19 patients with diabetes,4mnmaky6,what is the risk factor for severe covid,0
134,HR for death in COVID-19 patients with diabetes,nrdiqees,what is the risk of preexisting comorbidities,0
135,HR for death in COVID-19 patients with diabetes,ol21k1a8,age specific prevalence of sars,0
136,AHR for death in COVID-19 patients with diabetes,skknfc6h,what is the prognosis of covid,0
